,Test1,Test2,Test3,Test4,Score,label
0,3.0,3.0,2.0,4.0,12.0,1
1,3.25,3.0,3.15,5.0,14.4,1
2,4.0,3.0,2.75,5.0,14.75,1
3,4.0,4.0,3.75,4.0,15.75,1
4,3.67,2.0,2.25,5.0,12.92,1
5,4.0,2.75,3.0,3.0,12.75,1
6,3.17,3.75,2.75,5.0,14.67,1
7,3.0,4.0,2.75,5.0,14.75,1
8,3.67,4.0,3.67,4.0,15.34,1
9,4.0,3.67,2.25,5.0,14.92,1
10,2.25,2.25,1.7,5.0,11.2,1
11,4.0,3.25,3.0,4.0,14.25,1
12,4.0,4.0,4.0,4.0,16.0,1
13,4.0,4.0,3.5,4.0,15.5,1
14,4.0,4.0,3.0,5.0,16.0,1
15,4.0,3.0,4.0,4.0,15.0,1
16,3.67,3.0,2.0,4.0,12.67,1
17,3.0,3.0,2.0,5.0,13.0,1
18,2.67,3.0,2.0,5.0,12.67,1
19,4.0,4.0,3.25,4.0,15.25,1
20,3.0,2.0,2.0,5.0,12.0,1
21,3.0,4.0,3.75,5.0,15.75,1
22,3.75,3.0,3.5,5.0,15.25,1
23,4.0,4.0,2.7,5.0,15.7,1
24,4.0,3.5,3.5,5.0,16.0,1
25,4.0,3.67,2.0,4.0,13.67,1
26,3.25,2.0,2.5,5.0,12.75,1
27,4.0,3.0,2.5,5.0,14.5,1
28,4.0,3.75,2.75,5.0,15.5,1
29,3.67,3.0,3.0,4.0,13.67,1
30,3.0,2.0,3.0,4.67,12.67,1
31,4.0,4.0,2.25,5.0,15.25,1
32,3.0,4.0,3.75,5.0,15.75,1
33,4.0,4.0,3.25,5.0,16.25,1
34,2.25,2.0,3.0,4.0,11.25,1
35,1.08,3.0,3.75,5.0,12.83,1
36,4.0,3.0,1.65,5.0,13.65,1
37,4.0,3.0,1.67,4.0,12.67,1
38,4.0,4.0,2.5,4.0,14.5,1
39,3.0,3.0,2.9,5.0,13.9,1
40,3.67,4.0,3.75,5.0,16.42,1
41,4.0,4.0,3.25,5.0,16.25,1
42,4.0,1.42,2.25,4.0,11.67,1
43,4.0,2.08,3.0,4.0,13.08,1
44,3.0,2.75,1.75,5.0,12.5,1
45,3.75,1.67,2.75,5.0,13.17,1
46,3.35,4.0,2.25,4.0,13.6,1
47,4.0,4.0,4.0,5.0,17.0,1
48,4.0,4.0,2.0,3.0,13.0,0
49,4.0,2.0,2.42,5.0,13.42,0
50,1.47,1.42,2.5,5.0,10.39,0
51,3.25,1.0,0.83,5.0,10.08,0
52,3.25,2.0,1.5,2.0,8.75,0
53,4.0,3.08,3.0,3.0,13.08,0
54,3.5,2.25,0.75,4.0,10.5,0
55,4.0,1.0,2.5,4.0,11.5,0
56,1.8,2.25,1.0,3.0,8.05,0
57,3.75,1.67,0.08,5.0,10.5,0
58,3.0,4.0,3.0,2.0,12.0,0
59,2.67,2.67,1.67,4.0,11.01,0
60,2.75,2.25,1.0,5.0,11.0,0
61,0.25,3.0,1.25,4.0,8.5,0
62,1.0,0.5,1.25,4.0,6.75,0
63,3.0,0.75,2.75,4.0,10.5,0
64,0.0,0.08,1.0,5.0,6.08,0
65,4.0,4.0,2.0,3.0,13.0,0
66,4.0,2.0,1.4,4.0,11.4,0
67,3.0,3.0,1.92,5.0,12.92,1
68,1.67,3.0,2.0,5.0,11.67,1
69,4.0,3.0,3.5,4.0,14.5,1
70,4.0,3.61,3.0,5.0,15.61,1
71,3.0,2.42,1.25,3.0,9.67,0
72,4.0,3.67,3.75,4.0,15.42,1
73,3.25,2.0,1.0,5.0,11.25,1
74,2.5,2.0,1.0,3.0,8.5,0
75,0.0,0.0,0.0,0.0,0.0,0
76,4.0,2.0,4.0,5.0,15.0,1
77,3.75,3.0,2.25,5.0,14.0,1
78,3.25,2.33,0.25,5.0,10.83,0
80,0.25,3.0,2.25,4.0,9.5,1
81,3.0,2.0,1.5,4.0,10.5,0
82,2.75,2.0,0.25,3.0,8.0,0
83,4.0,1.25,2.67,3.0,10.92,0
84,4.0,2.0,2.2,4.0,12.2,1
85,4.0,4.0,1.0,5.0,14.0,1
86,4.0,4.0,3.0,5.0,16.0,1
87,4.0,3.0,1.08,4.0,12.08,1
88,4.0,4.0,4.0,5.0,17.0,1
89,4.0,3.0,1.7,4.0,12.7,1
90,4.0,4.0,3.0,4.0,15.0,1
91,3.0,2.08,3.0,4.0,12.08,1
92,3.75,4.0,2.0,2.0,11.75,0
93,4.0,3.67,3.25,5.0,15.92,1
94,4.0,4.0,3.25,4.0,15.25,1
95,3.0,4.0,2.5,4.0,13.5,1
96,4.0,4.0,3.0,5.0,16.0,1
97,3.0,3.0,2.75,4.0,12.75,1
98,4.0,4.0,3.25,5.0,16.25,1
99,4.0,3.0,3.0,4.0,14.0,1
100,4.0,3.0,3.0,4.0,14.0,1
101,1.8,3.0,1.08,5.0,10.88,0
102,4.0,2.75,1.6,4.0,12.35,0
103,3.0,4.0,2.0,5.0,14.0,1
104,4.0,3.75,4.0,5.0,16.75,1
105,3.25,4.0,0.75,5.0,13.0,1
106,4.0,3.0,3.0,4.0,14.0,1
107,3.0,2.0,1.67,4.0,10.67,0
108,1.75,3.0,3.0,5.0,12.75,1
109,2.33,2.5,1.75,4.0,10.58,0
110,3.25,4.0,2.0,4.0,13.25,1
111,3.0,1.17,4.0,4.0,12.17,1
112,4.0,4.0,2.75,4.0,14.75,1
113,4.0,4.0,2.7,4.0,14.7,1
114,4.0,2.0,0.92,4.0,10.92,0
115,3.0,4.0,3.75,5.0,15.75,1
116,1.75,3.75,2.75,5.0,13.25,1
117,4.0,3.0,0.75,3.0,10.75,0
118,4.0,2.0,3.67,5.0,14.67,1
119,4.0,4.0,4.0,5.0,17.0,1
120,3.25,3.0,3.42,4.0,13.67,1
121,3.0,3.0,2.5,5.0,13.5,1
122,3.67,2.5,1.42,4.0,11.59,0
123,2.0,3.0,0.25,4.0,9.25,0
124,3.5,3.67,2.25,4.0,13.42,1
125,2.75,3.0,2.75,4.0,12.5,0
126,3.0,1.0,2.25,4.0,10.25,1
127,2.5,0.0,1.33,4.0,7.83,0
128,3.5,3.0,1.0,3.0,10.5,0
129,0.08,2.0,1.25,4.0,7.33,0
130,0.0,2.42,1.5,3.0,6.92,0
131,1.33,1.5,1.25,3.0,7.08,0
132,4.0,4.0,3.0,3.0,14.0,1
133,1.0,4.0,0.25,5.0,10.25,0
134,4.0,2.08,2.33,5.0,13.41,1
135,1.38,2.0,3.05,5.0,11.43,1
136,3.67,4.0,4.0,3.0,14.67,1
137,3.0,2.75,3.0,4.0,12.75,1
138,3.25,4.0,2.18,4.0,13.43,1
